income_over_75,french,german,orientation_straight,new_york,available_yhat
0,0,0,0,0,0.09342105263157895
0,0,0,0,1,0.0
0,0,0,1,0,0.04116936093065418
0,0,0,1,1,0.0
0,0,1,0,0,0.10084033613445378
0,0,1,1,0,0.050335570469798654
0,1,0,0,0,0.105
0,1,0,1,0,0.05733130390664637
0,1,1,0,0,0.08196721311475409
0,1,1,1,0,0.09716599190283401
1,0,0,0,0,0.1
1,0,0,1,0,0.049399198931909215
1,0,1,0,0,0.2222222222222222
1,0,1,1,0,0.0975609756097561
1,1,0,0,0,0.4444444444444444
1,1,0,1,0,0.08333333333333333
1,1,0,1,1,0.0
1,1,1,0,0,0.0
1,1,1,1,0,0.16666666666666666
