atheism,asian,employed,pro_dogs,chinese,single_yhat
0,0,0,0.0,0,0.9939467312348669
0,0,0,0.0,1,1.0
0,0,0,1.0,0,1.0
0,0,0,1.0,1,1.0
0,0,1,0.0,0,0.994134531386497
0,0,1,0.0,1,0.9921875
0,0,1,1.0,0,0.9998199819981998
0,0,1,1.0,1,1.0
0,1,0,0.0,0,1.0
0,1,0,0.0,1,1.0
0,1,0,1.0,0,1.0
0,1,0,1.0,1,1.0
0,1,1,0.0,0,0.9983498349834984
0,1,1,0.0,1,1.0
0,1,1,1.0,0,1.0
0,1,1,1.0,1,1.0
1,0,0,0.0,0,0.9906976744186047
1,0,0,0.0,1,1.0
1,0,0,1.0,0,1.0
1,0,1,0.0,0,0.9851169383416017
1,0,1,0.0,1,1.0
1,0,1,1.0,0,1.0
1,0,1,1.0,1,1.0
1,1,0,0.0,0,1.0
1,1,0,0.0,1,1.0
1,1,0,1.0,0,1.0
1,1,0,1.0,1,1.0
1,1,1,0.0,0,1.0
1,1,1,0.0,1,1.0
1,1,1,1.0,0,1.0
1,1,1,1.0,1,1.0
