atheism,asian,employed,pro_dogs,chinese,seeing_someone_yhat
0,0,0,0.0,0,0.0
0,0,0,0.0,1,0.0
0,0,0,1.0,0,0.0
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.0007487832272557095
0,0,1,0.0,1,0.0
0,0,1,1.0,0,0.00054005400540054
0,0,1,1.0,1,0.0
0,1,0,0.0,0,0.0
0,1,0,0.0,1,0.0
0,1,0,1.0,0,0.0
0,1,0,1.0,1,0.0
0,1,1,0.0,0,0.0
0,1,1,0.0,1,0.0028169014084507044
0,1,1,1.0,0,0.001483679525222552
0,1,1,1.0,1,0.0
1,0,0,0.0,0,0.0
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.0
1,0,1,0.0,0,0.001417434443656981
1,0,1,0.0,1,0.0
1,0,1,1.0,0,0.0
1,0,1,1.0,1,0.0
1,1,0,0.0,0,0.0
1,1,0,0.0,1,0.0
1,1,0,1.0,0,0.0
1,1,0,1.0,1,0.0
1,1,1,0.0,0,0.0
1,1,1,0.0,1,0.0
1,1,1,1.0,0,0.0
1,1,1,1.0,1,0.0
